,,rho,p
(N(1) + N(8))-acetylspermidine,ASV_94,0.5030177314308052,0.0003138004308641738
(N(1) + N(8))-acetylspermidine,ASV_171,0.52606910829198,0.00014599164403962482
1-methyladenine,ASV_45,0.5609923638704175,4.100497163632698e-05
1-palmitoyl-galactosylglycerol (16:0)*,ASV_114,0.5141619371249879,0.00021824746284396804
1-palmitoyl-galactosylglycerol (16:0)*,ASV_192,0.5028971791373649,0.00031501416856126647
10-hydroxystearate,ASV_192,0.5035764617369394,0.0003082300765575234
2'-deoxycytidine,ASV_94,0.5699560511109895,2.89123744964661e-05
2'-deoxycytidine,ASV_137,0.540201780298167,8.881042835917957e-05
2'-deoxycytidine,ASV_72,0.51501966792692,0.0002121216066834746
2'-deoxycytidine,ASV_99,0.5097871131679842,0.0002520607847737985
2'-deoxycytidine,ASV_59,0.5060053096578359,0.00028503973805944365
2'-deoxyinosine,ASV_137,0.5144144628851373,0.0002164274895094233
2'-deoxyuridine,ASV_137,0.5030547042963384,0.00031342903088474403
"2,8-quinolinediol",ASV_178,0.5053693932167135,0.0002909536472925074
2-aminophenol,ASV_89,0.5783084039591269,2.068453095121121e-05
2-aminophenol,ASV_137,0.5194004579820097,0.00018319780503867154
2-hydroxyadipate,ASV_119,0.5283607507082914,0.0001348874139527279
2-hydroxysebacate,ASV_76,0.5021881752868502,0.00032223880415713875
2-methylserine,ASV_180,0.5162424580451217,0.00020365795201390943
2-palmitoyl-galactosylglycerol (16:0)*,ASV_114,0.5371877424023702,9.892547652600037e-05
2-palmitoyl-galactosylglycerol (16:0)*,ASV_171,0.5032141319163823,0.0003118320951540814
2-piperidinone,ASV_94,0.5000150673148168,0.0003453251198044997
"2S,3R-dihydroxybutyrate",ASV_143,0.5023778969030144,0.0003202910393964256
"3,4-dihydroxyphenylacetate",ASV_113,0.5121394548011978,0.0002333318375379532
3-(4-hydroxyphenyl)propionate,ASV_102,0.5073250011067717,0.00027311253317149393
3-hydroxy-2-methylpyridine,ASV_27,0.5702312365272865,2.8599263452517646e-05
3-hydroxyisonicotinic acid,ASV_134,0.5035075986107288,0.0003089117538952153
3-hydroxymargarate,ASV_137,0.5908813764241974,1.2275632258641987e-05
4-ureidobutyrate,ASV_137,0.5107528727358716,0.00024421278268120413
"5alpha-pregnan-3beta,20beta-diol monosulfate (1)",ASV_141,0.5148093567609342,0.00021360902977245115
alanylleucine,ASV_135,0.5094310335581127,0.00025501152865896657
alanylleucine,ASV_76,0.539450922701477,9.123793971083788e-05
alpha-tocotrienol,ASV_101,0.5161924634695642,0.00020399789640836586
"androstenediol (3beta,17beta) monosulfate (1)",ASV_134,0.5550200867354645,5.146818408666608e-05
arabinose,ASV_135,0.536282230327637,0.00010216330879305213
argininate*,ASV_157,0.523537905917194,0.0001592178054559445
arginine,ASV_218,0.5243501823705834,0.00015485938707116687
behenoyl ethanolamide (22:0)*,ASV_1,0.5482923879800276,6.61439226818894e-05
"bilirubin degradation product, C17H18N2O4 (2)",ASV_128,0.5192704993041642,0.00018400151224413905
"bilirubin degradation product, C17H20N2O5 (1)",ASV_128,0.5238111775782023,0.00015773922950678297
butyrylputrescine/isobutyrylputrescine,ASV_135,0.5071385571134788,0.0002747697198583087
butyrylputrescine/isobutyrylputrescine,ASV_137,0.6440133219224847,1.0397791467804493e-06
butyrylputrescine/isobutyrylputrescine,ASV_101,0.5538285700917704,5.382767872946485e-05
C-glycosyltryptophan,ASV_19,0.5053203137062966,0.0002914146595867972
chenodeoxycholic acid sulfate (1),ASV_89,0.5483050531622328,6.611302500408213e-05
chenodeoxycholic acid sulfate (1),ASV_135,0.585965845037043,1.5092462128664148e-05
chenodeoxycholic acid sulfate (1),ASV_134,0.5743128177879602,2.430609888479754e-05
chenodeoxycholic acid sulfate (1),ASV_137,0.5079290814217491,0.0002678051808428427
cholate,ASV_128,0.5182231137161459,0.0001905966727718888
cortolone glucuronide (1),ASV_144,0.5920656464897656,1.1673707731512279e-05
cysteine,ASV_163,0.5484645860716973,6.572496006093672e-05
cytidine,ASV_135,0.5776990052533159,2.120273632428483e-05
cytidine,ASV_72,0.5245782604192029,0.0001536552458943031
deoxycholic acid glucuronide,ASV_144,0.5684618915933463,3.066806704541597e-05
dihomolinoleate (20:2n6),ASV_134,0.5107528727358716,0.00024421278268120413
dodecanedioate (C12),ASV_135,0.5152796083693499,0.00021029616275275787
eicosenoate (20:1n9 or 1n11),ASV_192,0.5000294912928238,0.00034516708286732646
etiocholanolone glucuronide,ASV_144,0.6730201743022407,2.1869812409159218e-07
etiocholanolone glucuronide,ASV_20,0.5345776485419914,0.00010852169581221579
ferulylglycine (1),ASV_144,0.5946519736648982,1.0452541885549513e-05
ferulylglycine (2),ASV_144,0.554714250141734,5.2064611823358335e-05
formiminoglutamate,ASV_94,0.5207477481156886,0.0001750515178063468
fucose,ASV_135,0.5280493607175974,0.00013634972796847794
gamma-CEHC glucuronide*,ASV_144,0.6202868595766002,3.312574891171959e-06
gamma-glutamylglutamate,ASV_114,0.5089477620614085,0.0002590663186910645
gamma-glutamylglutamate,ASV_119,0.5318351021866485,0.00011951205012611336
gamma-glutamylglutamate,ASV_181,0.5277545616678722,0.00013774740381433326
gamma-glutamylmethionine,ASV_120,0.5188607567778608,0.00018655649482651456
gentisate,ASV_135,0.5319821033120693,0.00011889818869186445
gentisate,ASV_76,0.5063525935766862,0.000281856179942365
gentisate,ASV_137,0.5349579108959607,0.00010707279926209053
GlcNAc sulfate conjugate of C21H34O2 steroid,ASV_155,0.5083579611132285,0.0002640939771016527
glucuronide of piperine metabolite C17H21NO3 (4)*,ASV_144,0.524883829877467,0.00015205532686708988
glutamate,ASV_114,0.5236657339383245,0.00015852461275108943
"glutamate, gamma-methyl ester",ASV_94,0.5208907321212118,0.00017420657678076412
"glutamate, gamma-methyl ester",ASV_114,0.6087479745910348,5.626144169723217e-06
"glutamate, gamma-methyl ester",ASV_178,0.5140249320181941,0.0002192406654068102
glycerophosphoglycerol,ASV_135,0.5896615951713114,1.2925392759994398e-05
glycerophosphoinositol*,ASV_89,0.5561616707616052,4.929672522181207e-05
glycine,ASV_43,0.5093090276738282,0.0002560297339712152
glycochenodeoxycholate glucuronide (1),ASV_222,0.5022543363282873,0.0003215583536428794
glycylleucine,ASV_135,0.5271604231278513,0.00014060395785095016
glycylleucine,ASV_76,0.5341616046713518,0.00011012737447640554
histidine betaine (hercynine)*,ASV_44,0.5715578599879684,2.7133014972802037e-05
inosine,ASV_137,0.5847637374550719,1.5866411867650533e-05
isocaproate (i6:0),ASV_113,0.6376421530152442,1.4330513062612127e-06
isoursodeoxycholate,ASV_135,0.5589234644448172,4.438571130160297e-05
isoursodeoxycholate,ASV_195,0.5136993566271992,0.00022161734663111188
isoursodeoxycholate,ASV_171,0.5296990862277708,0.00012876351967566743
isoursodeoxycholate,ASV_192,0.5186342653856376,0.00018798257994748918
isoursodeoxycholate sulfate (1),ASV_135,0.6307971387557524,2.0065603150991585e-06
isoursodeoxycholate sulfate (1),ASV_137,0.5463412669012586,7.106454803568753e-05
isoursodeoxycholate sulfate (1),ASV_113,0.5561541500559821,4.931075202033563e-05
isoursodeoxycholate sulfate (1),ASV_171,0.5210081748698466,0.00017351534007681969
leucylalanine,ASV_137,0.5970372791423444,9.431805680582773e-06
leucylglutamine*,ASV_76,0.5570327553193095,4.769656189451789e-05
leucylglycine,ASV_82,0.5270267522648487,0.00014125401152551207
lithocholate,ASV_135,0.5223673531327394,0.0001656948343289221
lithocholate,ASV_137,0.5741691462110705,2.444656096154906e-05
lithocholate,ASV_99,0.5200228635170702,0.00017939264702066847
lithocholate,ASV_59,0.5431679284795707,7.978603753683558e-05
lithocholic acid sulfate (2),ASV_59,0.5290833723745324,0.0001315487363618724
maltol,ASV_137,0.534833640779469,0.00010754434952578104
"N,N,N-trimethyl-alanylproline betaine (TMAP)",ASV_113,0.5165331123712794,0.00020169176920417525
N-acetylalanine,ASV_181,0.512162349674048,0.0002331559213712706
N-acetylaspartate (NAA),ASV_113,0.5241417429321127,0.0001559673401348138
N-acetylglucosamine/N-acetylgalactosamine,ASV_135,0.5043022171083363,0.0003011280720557194
N-acetylglucosaminylasparagine,ASV_112,0.5747191789300569,2.3912819346658484e-05
N-acetylglutamate,ASV_120,0.5035534412913566,0.00030845780486774016
N-acetylglutamate,ASV_114,0.5917449675727601,1.1833953879059543e-05
N-acetylglutamate,ASV_177,0.5915248308496989,1.1945128859159762e-05
N-acetylglutamate,ASV_178,0.5387990951557791,9.339419482630642e-05
N-acetylglutamate,ASV_119,0.5468090033451104,6.985539679222852e-05
N-acetylmuramate,ASV_192,0.5172042955485415,0.00019721706341968874
N-methyl-GABA,ASV_114,0.509023238944207,0.0002584292231678988
N-methylproline,ASV_135,0.5961133290596686,9.8157517220313e-06
N-palmitoyl-phytosphingosine (t18:0/16:0),ASV_137,0.5616256039586482,4.001838849169207e-05
N-propionylmethionine,ASV_181,0.5029775314873556,0.00031420469894991786
N1-methylinosine,ASV_137,0.5256443363259861,0.0001481389530760875
N2-acetyllysine,ASV_82,0.5116322500699694,0.00023725999884248455
N6-acetyllysine,ASV_180,0.6418881194668307,1.1581607366200436e-06
nicotinamide riboside,ASV_89,0.5636416932322913,3.702039022729779e-05
nicotinate,ASV_82,0.5204577330863176,0.0001767767551243797
nicotinate,ASV_135,0.5733306437664074,2.528131451852176e-05
nicotinate,ASV_137,0.5051436282518901,0.0002930797730835451
OAHSA (18:1/OH-18:0),ASV_134,0.52117466262158,0.00017253970571353124
orotidine,ASV_19,0.5664408025181367,3.319870507697861e-05
p-cresol sulfate,ASV_135,0.5360221043117658,0.00010311113509154861
p-cresol sulfate,ASV_113,0.5244741632683813,0.00015420376848164112
PAHSA (16:0/OH-18:0),ASV_134,0.5011395244500315,0.0003331991523739184
phenylalanylalanine,ASV_99,0.5164863079573896,0.00020200721814737568
picolinate,ASV_137,0.5218958085884534,0.00016837098919221733
protoporphyrin IX,ASV_119,0.5377868263779725,9.68350513320505e-05
pyrraline,ASV_180,0.5197962107126178,0.00018076993021522088
S-carboxymethyl-L-cysteine,ASV_144,0.5708973141287313,2.7854228331893948e-05
spermidine,ASV_137,0.5154272431391894,0.0002092657457621109
spermidine,ASV_101,0.5218713619223778,0.00016851079582975263
spermine,ASV_19,0.5385185084648958,9.433660581078126e-05
stigmastadienone,ASV_161,0.5656453736496786,3.42461476336791e-05
succinate,ASV_119,0.5658861736854575,3.3925900874639865e-05
succinoyltaurine,ASV_94,0.5040999713913816,0.0003030921564137655
sulfate*,ASV_137,0.5160504925262985,0.00020496605379916258
tetrahydrocortisol glucuronide ,ASV_144,0.6401167950259296,1.2662696357482714e-06
threonylphenylalanine,ASV_76,0.5365167322054123,0.00010131566296500528
threonylphenylalanine,ASV_72,0.5156732461857105,0.00020755893504538207
thymidine,ASV_137,0.5428502161719879,8.071095899082277e-05
tryptamine,ASV_89,0.5896730702708847,1.2919135263586332e-05
tryptamine,ASV_76,0.5046291263867413,0.00029797766206604716
tryptophylglycine,ASV_125,0.5028625225335283,0.0003153638807683834
tyramine,ASV_177,0.5551281046545112,5.125903135231164e-05
tyrosylglycine,ASV_19,0.5011451824091616,0.00033313912330845533
uridine,ASV_137,0.5687150657370137,3.0363858905965418e-05
ursocholate,ASV_195,0.5113023240978727,0.00023984724930362406
ursodeoxycholate,ASV_195,0.5257682703240664,0.00014750949359285437
valylglycine,ASV_76,0.5021852726926341,0.0003222686864257257
vanillylmandelate (VMA),ASV_44,0.5082359050333157,0.00026514539010743984
