,ASV_10,ASV_9,ASV_6,ASV_4,ASV_31,ASV_161,ASV_89,ASV_23,ASV_30,ASV_45,ASV_46,ASV_155,ASV_102,ASV_159,ASV_94,ASV_194,ASV_218,ASV_28,ASV_166,ASV_44,ASV_122,ASV_175,ASV_57,ASV_135,ASV_76,ASV_130,ASV_195,ASV_120,ASV_183,ASV_34,ASV_1,ASV_134,ASV_144,ASV_114,ASV_220,ASV_177,ASV_145,ASV_154,ASV_41,ASV_112,ASV_178,ASV_29,ASV_137,ASV_119,ASV_157,ASV_128,ASV_47,ASV_140,ASV_43,ASV_101,ASV_180,ASV_27,ASV_141,ASV_217,ASV_171,ASV_192,ASV_143,ASV_432,ASV_123,ASV_51,ASV_49,ASV_129,ASV_181,ASV_12,ASV_19,ASV_163,ASV_222
123-1,0.0009497051956788413,0.0,0.0,0.00047485259783942065,0.0013454156938783586,0.0016224130426180207,0.0,0.0,0.015274425230501366,0.0631949665624629,0.535238019864667,0.0007518499465790828,0.0,0.0,0.0,0.0,0.0,0.0,0.10798939495864825,0.0641842428079617,0.0,0.0006331367971192276,0.0,0.0014641288433382138,0.0,0.010525899252107158,0.0,0.0,0.0,0.005144236476593724,0.0,0.0,0.013929009536623007,0.0,0.0,0.0,0.07186102647303233,0.0,0.013731154287523247,0.0027304024375766687,0.0,0.0,0.0,0.0,0.0,0.0,0.07783625499584504,0.0,0.0,0.0,0.0036405365834355588,0.0,0.0,0.0008309920462189862,0.0,0.0,0.0,0.0,0.0,0.00664793636975189,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21454102973610162,0.02654194235303065,0.0,0.0,0.0,0.0,0.12442010799300326,0.0,0.0,0.33903718913985853,0.0,0.11202372804015515,0.0,0.0021294395011027456,0.0,0.015210282150733896,0.004334930412959161,0.009582477754962354,0.0,0.0,0.0,0.10479884401855655,0.0,0.0015210282150733897,0.0,0.0,0.011940071488326109,0.0,0.0,0.0,0.0,0.010951403148528405,0.0,0.0,0.0,0.013461099703399497,0.0,0.0,0.0,0.0,0.0,0.003802570537683474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004334930412959161,0.0,0.0013689253935660506,0.0,0.0,0.0
176-1,0.02520556779706562,0.0,0.0,0.0031171064653087548,0.0,0.0022572150266028912,0.0011823507282205622,0.0,0.003063363250389638,0.0,0.0,0.06723276186381469,0.0017735260923308432,0.0,0.0,0.025689256731337668,0.00048368893427204815,0.0010211210834632127,0.009512549040683613,0.0,0.0036545386144999194,0.020852367388617187,0.0,0.0003762025044338152,0.0,0.013167087655183533,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.03794270973289622,0.003278336110066104,0.0,0.0,0.0,0.0,0.5079271242005696,0.0,0.0,0.005696780781426345,0.0,0.0009673778685440963,0.041543505132477024,0.059278766055785456,0.0,0.0,0.0,0.0,0.0,0.032084699306712525,0.0,0.0,0.0,0.0,0.006664158649970441,0.0,0.0,0.0,0.020099962379749557,0.0,0.004084484333852851,0.035792981136131566,0.0176277744934702,0.004245713978610201,0.000698661793948514
148-1,0.06743082296050865,0.003373033640786842,0.0,0.0,0.0,0.8728694665830871,0.0,0.04202859616130862,0.003313333930330438,0.0,0.0,0.0,0.001462642906181905,0.0,0.0,0.0,0.00023879884182561714,0.0005074475388794365,0.0,0.0,0.0,0.0,0.0,0.0004477478284230321,0.0,0.00029849855228202145,0.0,0.0,0.0,0.0009253455120742664,0.00014924927614101073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018506910241485328,0.0,0.0,0.0,0.0005372973941076386,0.00041789797319483,0.0,0.0,0.0,0.0,0.0,0.0021790394316587563,0.0,0.00125369391958449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003283484075102236,0.0,0.00038804811796662784,0.0,0.0,0.0,0.0
139-1,0.03236862147753237,0.0,0.0,0.0,0.001280897320501281,0.09717510212559717,0.0,0.0,0.0,0.19476563040919476,0.051685937824551685,0.0011424219345011425,0.0,0.0,0.0,0.00013847538600013847,0.21252509866371253,0.0,0.003184933878003185,0.0,0.0,0.014436058990514436,0.0003808073115003808,0.014124489372014125,0.029806826836529805,0.009797133559509797,0.004431212352004431,0.0,0.0,0.0,0.0,0.021394447137021395,0.0018001800180018,0.0,0.268953818458769,0.0,0.002907983106002908,0.0,0.0,0.0009000900090009,0.0,0.0,0.0,0.0,0.0,0.0018347988645018348,0.015993907083015995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001177040781001177,0.0,0.0,0.0006231392370006231,0.0,0.016963234785016962,0.0,0.0,0.0,0.0,0.0002077130790002077,0.0
167-1,0.000751189383190051,0.0,0.0,0.0,0.000180841888545753,0.0,0.00019475280304927245,0.00029212920457390867,0.0,0.04184403082658654,0.0,0.2415352085246084,0.0,0.5358484266755696,0.0,0.0,0.0,0.0,0.0,0.0,0.022285285034638176,0.05138691817600089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010154967587569206,0.0,0.0,0.03519461369390424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020866371755279191,0.0,0.0,0.009640263750938986,0.011824277327991543,0.0,0.0037837687449572936,0.0,0.0,0.0288790585093064,0.0013493587068413877,0.0,0.0,0.0,0.0,0.008861252538741897,0.0,0.0,0.0,0.0,0.0,0.0,0.004034165206020643,0.0,0.0008902985282252455,0.0
168-1,0.31871789784626237,0.0,0.0,0.00958931287613253,0.08599519432136322,0.0005731543328263122,0.009302735709719375,0.0,0.0,0.0,0.0,0.0,0.293962039547649,0.0027775940744659746,0.004541145867777705,0.0007935983069902784,0.0,0.03959173775984833,0.0,0.0022044397416396623,0.0001983995767475696,0.007010118378414126,0.0,0.023918171196790336,0.006767630006833763,0.0008817758966558649,0.0,0.07342988779401716,0.011485131053942641,0.0,0.0,0.007539183916407645,0.0,0.0013667526398165907,0.0,0.0,0.0,0.0013006194475674007,0.003703458765954633,0.005974031699843485,0.0013887970372329873,0.0002645327689967595,0.003571192381456253,0.0066133192249189865,0.0,0.000815642704406675,0.002160350946806869,0.04926922822564645,0.0,0.0030862156382955273,0.0,0.0023587505235544387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018847959791019112,0.0,0.0,0.0,0.0
119-1,0.0,0.0,0.0,0.0,0.0008060310084870324,0.0,0.0,0.0,0.0,0.0,0.0876677255701484,0.0028922289128064105,0.0,0.4435541226115405,0.0,0.0,0.0,0.0,0.0005689630648143758,0.01906026267128159,0.0,0.010668057465269547,0.0,0.009340476980702669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13124081361718268,0.0,0.0,0.0,0.08999099141814045,0.0011379261296287516,0.0,0.1323313261580769,0.0,0.0,0.0,0.062443696363377744,0.0,0.0,0.004646531695984069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003034469679010004,0.0,0.0,0.00023706794367265658,0.0,0.0003793087098762505,0.0
138-1,0.0004416028262580881,0.0,0.0,0.6875180001152007,0.0,0.24190234817502831,0.014918495478371062,0.011308872376783212,0.0034560221185415585,0.0,0.0,0.0,0.0,0.0,0.0018048115507939251,0.0,0.0,0.0,0.0,0.0,0.0,0.002284814622813586,0.0,0.0009408060211585354,0.013536086630954437,9.600061440393218e-05,0.0024768158516214503,0.0014208090931781964,0.0,0.0,0.009715262177677937,0.0002880018432117966,0.0,0.0,0.0,0.0,0.0003264020889733694,0.0,0.0,0.0,0.0,0.00011520073728471862,0.004128026419369084,0.0,0.0,0.0011712074957279726,0.0,0.0,0.0,0.0,0.0,0.002150413762648081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102-1,0.0,0.0006866402691629855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06349133688860406,0.0,0.10656656977409536,0.0,0.0,0.004714929848252501,0.0,0.013847245428120207,0.0,0.7033485157126181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005447346135359685,0.008743219427342016,0.003890961525256918,0.0,0.0,0.025955002174360853,0.0010986244306607769,0.0011215124396328764,0.007919251104346433,0.0017394886818795632,0.027648714838296215,0.0,0.0,0.00379940948936852,0.0,0.0,0.0,0.0,0.0,0.0006408642512187864,0.0,0.0009384083678560802,0.0,0.0,0.0,0.0,0.0,0.0,0.008949211508090912,0.004417385731615207,0.0,0.0,0.0,0.0,0.005035361973861893,0.0,0.0,0.0,0.0,0.0,0.0
151-1,0.0,0.015220721946190523,0.9004854021392059,0.0,0.0,0.0,0.0,0.00010023053021950487,0.0,0.0,0.0,0.0018471054854737325,0.004138089033348129,0.00750297111928865,0.001961654662867452,0.026962012629046808,0.0006013831813170291,0.0,0.013817494523117455,0.009836910608685691,0.0,0.002147797076132247,0.0,0.0,0.0,0.0033076074972436605,0.0,0.0,0.0019759733100416675,0.0,0.0,0.0,0.0,0.00017182376609057977,0.0,0.0,0.0,0.0009020747719755437,0.00031501023783272954,0.0,0.0,0.0,0.0010452612437176936,0.0,0.0003579661793553745,0.0001431864717421498,0.0,0.0006443391228396742,0.0,0.0034078380274631653,0.0,0.0,0.0,0.0002863729434842996,0.00045819670957487934,0.00032932888500694456,0.0,0.0,0.0,0.0,0.0,0.0020332478987385274,0.0,0.0,0.0,0.0,0.0
155-1,0.0,0.0,0.0,0.0,0.0011250359749875724,0.0006279270558070171,0.0,0.0,0.0,0.1943434237722718,0.05787394364354674,0.0015436540121922502,0.0,0.0,0.0,0.0,0.0006802543104576018,0.0,0.04628345673844222,0.6081211899217708,0.0,0.009418905837105257,0.0,0.0,0.0,0.005075743701106721,0.0,0.00015698176395175428,0.0004186180372046781,0.0,0.0,0.0,0.0002616362732529238,0.0,0.0,0.010413123675466367,0.0,0.0,0.004971089191805552,0.0,0.0,0.0,0.0,0.0,0.0,0.006096125166793124,0.0,0.0,0.0312393710263991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006959524868527773,0.0,0.0,0.0,0.002851835378456869,0.011145705240574554,0.0,0.0003924544098793857
169-1,0.00090546615621674,0.0,0.0,0.002954679036075678,0.0,0.0005401026194977045,0.0,0.0,0.0037648329653222345,0.37319502470175214,0.026512684468872616,0.2876205302536894,0.0,0.0,0.0,0.0,0.0007307270734380709,0.0006513002176295849,0.0,0.009864815491413957,0.0004289050213658242,0.01148512334990707,0.0,0.0,0.0,0.006973677939985067,0.0,0.0,0.0,0.0002223951962637607,7.942685580848596e-05,0.0,0.0020650982510206353,0.0,0.0,0.0,0.0,0.23726390367110928,0.0,0.0,0.0,0.0013661419199059587,0.0,3.1770742323394386e-05,0.00611586789725342,0.007577322044129561,0.0,0.0,0.0,0.0,0.00684659497069149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0079268002096869,0.0,0.0,0.004432018554113517,0.0,0.0004447903925275214,0.0
114-1,0.0,0.8317798852212137,0.0,0.0,0.0,0.0020961374089299525,0.0,0.0,0.007855427571329725,0.0,0.04890308925882209,0.0,0.0,0.0,0.0,0.00028491188082543044,0.0,0.0,0.0007733322479547397,0.0,0.0012821034637144368,0.0,0.00034596442671659406,0.0,0.0,0.0,0.0,0.0,0.0,0.03429117994220359,0.015771907688550614,0.0,0.015934714477593717,0.0,0.0,0.0,0.0,0.0,0.016484187390614188,0.0,0.0,0.0,0.0009564898856282307,0.0,0.0006919288534331881,0.0,0.0,0.013553665187838333,0.0,0.0006715780048028002,0.0,0.0,0.006898937685701494,0.0,0.0,0.0,0.001424559404127152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170-1,0.0009930815319937768,0.0,0.0,0.0003310271773312589,0.0007117084312622066,0.0,0.0006455029957959549,0.0,0.0,0.05466913833625741,0.22152338707007846,0.0,0.0,0.0,0.0003310271773312589,0.0,0.0,0.0004468866893971995,0.0,0.0,0.006736403058691118,0.04051772650534609,0.00019861630639875534,0.0,0.0,0.0025489092654506934,0.0,0.02209606408686153,0.0,0.0,0.0,0.0,0.011850772948459069,0.00016551358866562945,0.0,0.1297129994372538,0.0,0.0,0.0,0.0,0.2852792214240789,0.0,0.0,0.06352411532986858,0.0,0.019960938793074912,0.0,0.0,0.13083849184018007,0.0,0.0,0.0032275149789797743,0.0,0.0,0.0,0.0,0.0032606176967129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00043033533053063656,0.0
175-1,0.009976924121080494,0.0,0.0,0.0013913397583819737,0.0005768969729876476,0.0,0.0,0.0,0.0034613818379258857,0.01387946246776164,0.3261504004343695,0.028980589113614768,0.0003393511605809692,0.0,0.0,0.0,0.0011537939459752952,0.0010180534817429076,0.15033256413736934,0.0,0.13051445635944076,0.06247454866295643,0.00047509162481335684,0.0,0.0,0.006854893443735578,0.0,0.0,0.0,0.0,0.0,0.0,0.11239310438441699,0.0,0.0,0.0,0.0,0.0,0.04835754038278811,0.0,0.0,0.003698927650332564,0.0,0.0,0.005429618569295507,0.007092439256142256,0.0,0.0,0.0,0.0,0.06451065562644225,0.014286683860458803,0.0040382788109135336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015949504547305552,0.0,0.0010180534817429076,0.0
149-1,0.0,0.0006185097171131872,0.0021159542953872196,0.0,0.0,0.0005534034311012728,0.0008463817181548879,0.0,0.0,0.40102216869038704,0.3385852404049611,0.08821901754614409,0.0003906377160714867,0.031934633288844036,0.0,0.0,0.013737426348513949,0.0,0.051433965949412415,0.022364009245092614,0.0,0.0013346788632442462,0.0005534034311012728,0.0,0.0,0.0008463817181548879,0.0,0.0,0.0,0.0,0.0,0.00029297828705361504,0.0011068068622025456,0.0007487222891370161,0.0,0.0,0.0,0.0,0.0,0.001139360005208503,0.0,0.0,0.0,0.00022787200104170058,0.030079104137504475,0.0,0.0,0.0,0.0,0.0,0.00738956346235229,0.0,0.0,0.003450633158631466,0.0,0.0,0.0,0.001009147433184674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115-1,0.0,0.0,0.0,0.000820182136998699,0.0,0.0,0.0,0.000509078567792296,0.0,0.009983596357260026,0.35253690819616496,0.2813507551332089,0.0,0.0,0.0006222071384128061,0.0,0.0018100571299281634,0.0,0.11762543130267548,0.07967079585949431,0.0,0.006108942813507551,0.0004807964251371684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005288760676508852,0.0,0.0,0.0,0.057836981729735844,0.00576955710164602,0.0,0.0018100571299281634,0.0,0.0,0.0,0.0,0.009983596357260026,0.0026868035522371173,0.0,0.0,0.0,0.0,0.0037049606878217095,0.0,0.0,0.015668307030940663,0.0,0.0,0.0,0.04539283896147972,0.0,0.0,0.0,0.0,0.0,0.0,0.00033938571186153065,0.0,0.0
131-1,0.0011341825161402897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009596928982725527,0.0657825859361368,0.11420345489443379,0.0049729541092305,0.0,0.0,0.0,0.31550631070784624,0.0,0.0,0.2695573780026755,0.0,0.0,0.007706624789158378,0.0,0.0,0.0,0.0008724480893386843,0.0,0.0,0.0,0.0005234688536032106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02800558366777177,0.01803059384633281,0.0,0.0,0.0,0.0,0.0,0.14837433839353226,0.007124992729599255,0.0,0.0,0.0021229570173907984,0.0,0.002646425870994009,0.0,0.002006630605478974,0.00043622404466934215,0.0,0.0,0.0,0.0,0.0,0.009567847379747571,0.0,0.0,0.0,0.0,0.0,0.0,0.0004653056476472983
