cluster index	RTMean	Balance Score	BasePeak
670	27.86	17	112.0
671	27.93	100	128.0
672	28.05	100	74.0
673	28.14	100	215.0
674	28.25	67	193.0
675	28.25	33	339.0
676	28.36	100	129.0
677	28.53	59	217.0
678	28.53	21	100.0
679	28.53	11	451.0
680	28.53	9	116.0
681	28.64	75	118.0
682	28.64	25	161.0
683	28.74	100	118.0
684	28.84	100	204.0
685	28.95	100	307.0
686	29.01	30	115.0
687	29.01	29	373.0
688	29.01	19	74.0
689	29.01	15	207.0
690	29.01	7	117.0
691	29.09	63	319.0
692	29.09	37	84.0
693	29.16	100	115.0
694	29.32	100	98.0
695	29.40	100	73.0
696	29.52	100	339.0
697	29.61	100	105.0
698	29.67	69	211.0
699	29.67	31	73.0
700	29.81	100	68.0
701	29.95	80	285.0
702	29.95	20	68.0
703	30.09	53	357.0
704	30.09	29	131.0
705	30.09	18	161.0
706	30.17	100	129.0
707	30.23	64	245.0
708	30.23	36	60.0
709	30.36	80	147.0
710	30.36	20	98.0
711	30.46	100	307.0
712	30.55	81	149.0
713	30.55	19	69.0
714	30.64	68	218.0
715	30.64	32	125.0
716	30.70	44	76.0
717	30.70	31	80.0
718	30.70	17	95.0
719	30.70	8	217.0
720	30.76	64	179.0
721	30.76	31	275.0
722	30.76	6	103.0
723	30.84	87	132.0
724	30.84	13	347.0
725	30.96	76	199.0
726	30.96	24	165.0
727	31.05	59	96.0
728	31.05	41	83.0
729	31.10	47	238.0
730	31.10	23	84.0
731	31.10	15	96.0
732	31.10	15	116.0
733	31.17	100	80.0
734	31.25	60	74.0
735	31.25	40	244.0
736	31.41	100	241.0
737	31.49	51	71.0
738	31.49	49	72.0
739	31.54	63	101.0
740	31.54	18	175.0
741	31.54	18	285.0
742	31.59	56	205.0
743	31.59	25	347.0
744	31.59	19	144.0
745	31.64	100	189.0
746	31.69	100	172.0
747	31.78	65	207.0
748	31.78	20	205.0
749	31.78	15	207.0
750	31.84	55	293.0
751	31.84	33	406.0
752	31.84	12	208.0
753	31.92	75	61.0
754	31.92	25	116.0
755	31.99	36	80.0
756	31.99	31	205.0
757	31.99	21	193.0
758	31.99	12	117.0
759	32.12	100	148.0
760	32.22	47	291.0
761	32.22	32	67.0
762	32.22	21	131.0
763	32.29	37	60.0
764	32.29	26	245.0
765	32.29	22	101.0
766	32.29	15	219.0
767	32.35	20	131.0
768	32.35	20	204.0
769	32.35	18	208.0
770	32.35	16	148.0
771	32.35	16	129.0
772	32.35	7	130.0
773	32.35	4	205.0
774	32.39	48	147.0
775	32.39	35	191.0
776	32.39	17	186.0
777	32.46	100	207.0
778	32.54	77	219.0
779	32.54	23	191.0
780	32.63	46	233.0
781	32.63	41	131.0
782	32.63	13	78.0
783	32.77	63	116.0
784	32.77	37	134.0
785	32.81	47	243.0
786	32.81	26	407.0
787	32.81	18	73.0
788	32.81	10	87.0
789	32.86	100	69.0
790	32.94	57	314.0
791	32.94	26	231.0
792	32.94	18	75.0
793	33.06	100	91.0
794	33.14	35	72.0
795	33.14	33	259.0
796	33.14	16	103.0
797	33.14	16	207.0
798	33.17	100	79.0
799	33.21	39	169.0
800	33.21	24	80.0
801	33.21	19	217.0
802	33.21	10	74.0
803	33.21	8	69.0
804	33.29	48	548.0
805	33.29	32	174.0
806	33.29	10	73.0
807	33.29	10	131.0
808	33.35	75	96.0
809	33.35	25	127.0
810	33.51	49	206.0
811	33.51	36	217.0
812	33.51	15	60.0
813	33.59	85	333.0
814	33.59	15	131.0
815	33.64	58	209.0
816	33.64	42	80.0
817	33.69	100	290.0
818	33.79	42	79.0
819	33.79	30	174.0
820	33.79	19	208.0
821	33.79	10	130.0
822	33.90	77	150.0
823	33.90	23	227.0
824	33.96	100	412.0
825	34.01	100	178.0
826	34.11	100	310.0
827	34.21	100	71.0
828	34.31	77	193.0
829	34.31	23	191.0
830	34.38	100	142.0
831	34.53	100	286.0
832	34.63	41	208.0
833	34.63	32	62.0
834	34.63	26	159.0
835	34.73	100	436.0
836	34.83	39	104.0
837	34.83	23	160.0
838	34.83	21	157.0
839	34.83	9	170.0
840	34.83	8	143.0
841	34.90	100	349.0
842	34.99	100	307.0
843	35.12	51	153.0
844	35.12	49	189.0
845	35.20	61	205.0
846	35.20	31	119.0
847	35.20	8	119.0
848	35.34	54	163.0
849	35.34	46	68.0
850	35.46	100	319.0
851	35.55	58	220.0
852	35.55	42	243.0
853	35.78	81	116.0
854	35.78	19	81.0
855	35.88	100	104.0
856	35.96	100	84.0
857	36.05	41	384.0
858	36.05	39	148.0
859	36.05	20	96.0
860	36.09	74	183.0
861	36.09	19	119.0
862	36.09	7	101.0
863	36.13	87	233.0
864	36.13	13	191.0
865	36.20	58	501.0
866	36.20	42	289.0
867	36.26	35	126.0
868	36.26	31	271.0
869	36.26	29	127.0
870	36.26	5	76.0
871	36.33	55	91.0
872	36.33	26	206.0
873	36.33	12	143.0
874	36.33	7	103.0
875	36.37	67	209.0
876	36.37	33	282.0
877	36.42	100	308.0
878	36.53	23	217.0
879	36.53	21	101.0
880	36.53	19	117.0
881	36.53	19	229.0
882	36.53	18	69.0
883	36.64	100	320.0
884	36.72	100	170.0
885	36.77	40	148.0
886	36.77	39	84.0
887	36.77	20	73.0
888	36.82	100	204.0
889	36.88	100	380.0
890	36.98	100	331.0
891	37.01	75	101.0
892	37.01	25	148.0
893	37.10	100	320.0
894	37.20	65	80.0
895	37.20	22	205.0
896	37.20	13	206.0
897	37.27	100	97.0
898	37.33	33	89.0
899	37.33	27	103.0
900	37.33	17	60.0
901	37.33	15	81.0
902	37.33	8	134.0
903	37.42	100	331.0
904	37.51	54	207.0
905	37.51	46	79.0
906	37.57	83	131.0
907	37.57	17	115.0
908	37.65	66	326.0
909	37.65	34	382.0
910	37.69	53	180.0
911	37.69	47	129.0
912	37.77	35	103.0
913	37.77	33	129.0
914	37.77	32	133.0
915	37.81	30	207.0
916	37.81	27	207.0
917	37.81	27	280.0
918	37.81	16	74.0
919	37.87	50	341.0
920	37.87	19	95.0
921	37.87	17	204.0
922	37.87	14	73.0
923	37.90	39	131.0
924	37.90	37	80.0
925	37.90	13	193.0
926	37.90	7	191.0
927	37.90	3	118.0
928	37.98	100	331.0
929	38.05	49	204.0
930	38.05	25	78.0
931	38.05	17	103.0
932	38.05	10	80.0
933	38.17	39	357.0
934	38.17	38	149.0
935	38.17	12	271.0
936	38.17	11	77.0
937	38.22	100	355.0
938	38.32	41	204.0
939	38.32	38	282.0
940	38.32	22	281.0
941	38.45	62	257.0
942	38.45	38	319.0
943	38.51	61	282.0
944	38.51	39	282.0
945	38.57	100	71.0
946	38.60	50	73.0
947	38.60	28	204.0
948	38.60	23	135.0
949	38.68	52	341.0
950	38.68	30	105.0
951	38.68	18	341.0
952	38.77	55	254.0
953	38.77	45	103.0
954	38.87	32	125.0
955	38.87	26	76.0
956	38.87	22	117.0
957	38.87	20	79.0
958	38.91	87	135.0
959	38.91	13	78.0
960	38.94	34	134.0
961	38.94	22	281.0
962	38.94	20	207.0
963	38.94	16	126.0
964	38.94	9	205.0
965	38.98	65	193.0
966	38.98	35	265.0
967	39.07	42	91.0
968	39.07	30	78.0
969	39.07	29	97.0
970	39.11	67	134.0
971	39.11	33	73.0
972	39.18	40	267.0
973	39.18	23	255.0
974	39.18	19	101.0
975	39.18	18	75.0
976	39.21	56	148.0
977	39.21	25	281.0
978	39.21	19	133.0
979	39.39	52	439.0
980	39.39	48	207.0
981	39.47	31	119.0
982	39.47	30	117.0
983	39.47	20	149.0
984	39.47	19	69.0
985	39.55	100	221.0
986	39.61	63	97.0
987	39.61	33	66.0
988	39.61	3	89.0
989	39.66	32	127.0
990	39.66	29	75.0
991	39.66	26	191.0
992	39.66	13	148.0
993	39.75	100	188.0
994	39.83	37	75.0
995	39.83	21	89.0
996	39.83	18	75.0
997	39.83	12	191.0
998	39.83	11	281.0
999	39.87	100	208.0
1000	39.99	38	81.0
1001	39.99	24	89.0
1002	39.99	19	72.0
1003	39.99	19	80.0
1004	40.04	32	205.0
1005	40.04	29	147.0
1006	40.04	23	96.0
1007	40.04	16	145.0
1008	40.09	79	191.0
1009	40.09	21	75.0
1010	40.15	70	97.0
1011	40.15	30	208.0
1012	40.24	40	133.0
1013	40.24	30	61.0
1014	40.24	30	475.0
1015	40.36	100	84.0
1016	40.46	100	260.0
1017	40.49	63	147.0
1018	40.49	37	85.0
1019	40.57	100	148.0
1020	40.69	77	363.0
1021	40.69	23	206.0
1022	40.79	100	221.0
1023	40.84	72	79.0
1024	40.84	19	451.0
1025	40.84	8	217.0
1026	40.89	89	145.0
1027	40.89	11	255.0
1028	40.99	100	79.0
1029	41.06	100	76.0
1030	41.11	50	100.0
1031	41.11	36	74.0
1032	41.11	14	219.0
1033	41.19	100	151.0
1034	41.31	100	399.0
1035	41.42	52	161.0
1036	41.42	30	81.0
1037	41.42	19	119.0
1038	41.56	48	327.0
1039	41.56	16	218.0
1040	41.56	14	61.0
1041	41.56	13	219.0
1042	41.56	9	217.0
1043	41.68	100	302.0
1044	41.72	84	207.0
1045	41.72	16	195.0
1046	41.84	52	160.0
1047	41.84	20	253.0
1048	41.84	15	76.0
1049	41.84	13	265.0
1050	41.90	93	374.0
1051	41.90	7	206.0
1052	41.97	100	91.0
1053	42.09	50	104.0
1054	42.09	50	305.0
1055	42.13	33	133.0
1056	42.13	26	74.0
1057	42.13	25	223.0
1058	42.13	17	265.0
1059	42.19	80	98.0
1060	42.19	20	282.0
1061	42.29	100	218.0
1062	42.37	57	249.0
1063	42.37	43	118.0
1064	42.43	54	149.0
1065	42.43	25	284.0
1066	42.43	21	237.0
1067	42.49	61	218.0
1068	42.49	24	125.0
1069	42.49	14	126.0
1070	42.55	60	189.0
1071	42.55	40	117.0
1072	42.67	40	116.0
1073	42.67	30	266.0
1074	42.67	18	74.0
1075	42.67	13	267.0
1076	42.73	54	221.0
1077	42.73	23	205.0
1078	42.73	18	194.0
1079	42.73	5	155.0
1080	42.80	38	209.0
1081	42.80	33	295.0
1082	42.80	22	490.0
1083	42.80	7	78.0
1084	42.90	100	220.0
1085	43.00	77	149.0
1086	43.00	23	78.0
1087	43.13	77	176.0
1088	43.13	23	96.0
1089	43.17	100	543.0
1090	43.24	56	489.0
1091	43.24	16	325.0
1092	43.24	15	133.0
1093	43.24	13	149.0
1094	43.32	100	97.0
1095	43.47	44	159.0
1096	43.47	35	95.0
1097	43.47	11	89.0
1098	43.47	11	61.0
1099	43.55	100	373.0
1100	43.61	65	200.0
1101	43.61	35	104.0
1102	43.68	85	341.0
1103	43.68	15	169.0
1104	43.80	100	339.0
1105	43.91	70	118.0
1106	43.91	30	135.0
1107	43.98	100	134.0
1108	44.04	65	204.0
1109	44.04	28	401.0
1110	44.04	8	289.0
1111	44.07	43	284.0
1112	44.07	19	210.0
1113	44.07	15	133.0
1114	44.07	14	222.0
1115	44.07	8	149.0
1116	44.17	100	403.0
1117	44.30	60	294.0
1118	44.30	40	325.0
1119	44.46	100	153.0
1120	44.62	38	137.0
1121	44.62	25	79.0
1122	44.62	22	134.0
1123	44.62	15	82.0
1124	44.67	50	169.0
1125	44.67	24	117.0
1126	44.67	23	175.0
1127	44.67	3	194.0
1128	44.74	44	191.0
1129	44.74	33	267.0
1130	44.74	24	387.0
1131	44.81	30	281.0
1132	44.81	28	208.0
1133	44.81	23	192.0
1134	44.81	19	280.0
1135	44.88	60	74.0
1136	44.88	40	101.0
1137	44.97	47	179.0
1138	44.97	23	76.0
1139	44.97	19	207.0
1140	44.97	10	75.0
1141	45.04	44	208.0
1142	45.04	21	65.0
1143	45.04	20	105.0
1144	45.04	15	192.0
1145	45.10	46	60.0
1146	45.10	23	341.0
1147	45.10	19	96.0
1148	45.10	13	279.0
1149	45.16	45	126.0
1150	45.16	20	192.0
1151	45.16	16	77.0
1152	45.16	13	135.0
1153	45.16	5	206.0
1154	45.22	51	342.0
1155	45.22	19	126.0
1156	45.22	17	416.0
1157	45.22	13	91.0
1158	45.29	50	222.0
1159	45.29	15	192.0
1160	45.29	14	328.0
1161	45.29	13	401.0
1162	45.29	8	69.0
1163	45.37	42	78.0
1164	45.37	25	197.0
1165	45.37	17	149.0
1166	45.37	16	197.0
1167	45.45	37	200.0
1168	45.45	26	342.0
1169	45.45	25	190.0
1170	45.45	12	328.0
1171	45.49	49	148.0
1172	45.49	18	191.0
1173	45.49	17	95.0
1174	45.49	13	491.0
1175	45.49	4	147.0
1176	45.54	54	268.0
1177	45.54	21	78.0
1178	45.54	20	355.0
1179	45.54	6	116.0
1180	45.60	34	69.0
1181	45.60	30	341.0
1182	45.60	24	195.0
1183	45.60	12	79.0
1184	45.65	32	401.0
1185	45.65	22	282.0
1186	45.65	20	361.0
1187	45.65	19	117.0
1188	45.65	7	282.0
1189	45.70	63	280.0
1190	45.70	21	95.0
1191	45.70	16	75.0
1192	45.73	53	205.0
1193	45.73	17	117.0
1194	45.73	16	268.0
1195	45.73	14	296.0
1196	45.78	46	146.0
1197	45.78	20	417.0
1198	45.78	18	148.0
1199	45.78	15	325.0
1200	45.85	40	177.0
1201	45.85	21	83.0
1202	45.85	15	357.0
1203	45.85	13	96.0
1204	45.85	11	489.0
1205	45.91	39	340.0
1206	45.91	22	267.0
1207	45.91	21	76.0
1208	45.91	17	194.0
1209	46.00	42	131.0
1210	46.00	32	209.0
1211	46.00	25	220.0
1212	46.06	44	327.0
1213	46.06	21	89.0
1214	46.06	20	147.0
1215	46.06	16	190.0
1216	46.12	39	105.0
1217	46.12	17	489.0
1218	46.12	17	343.0
1219	46.12	14	129.0
1220	46.12	13	66.0
1221	46.19	48	161.0
1222	46.19	19	284.0
1223	46.19	17	81.0
1224	46.19	16	103.0
1225	46.23	50	82.0
1226	46.23	17	103.0
1227	46.23	17	147.0
1228	46.23	15	475.0
1229	46.29	32	75.0
1230	46.29	25	489.0
1231	46.29	23	222.0
1232	46.29	21	490.0
1233	46.34	42	117.0
1234	46.34	20	131.0
1235	46.34	20	461.0
1236	46.34	18	356.0
1237	46.38	21	81.0
1238	46.38	21	78.0
1239	46.38	17	267.0
1240	46.38	15	265.0
1241	46.38	13	194.0
1242	46.38	13	416.0
1243	46.41	100	265.0
1244	46.45	31	163.0
1245	46.45	23	146.0
1246	46.45	19	69.0
1247	46.45	16	282.0
1248	46.45	12	356.0
1249	46.48	49	205.0
1250	46.48	21	72.0
1251	46.48	15	253.0
1252	46.48	14	356.0
1253	46.53	76	73.0
1254	46.53	24	295.0
1255	46.59	51	165.0
1256	46.59	49	356.0
1257	46.65	51	280.0
1258	46.65	27	220.0
1259	46.65	22	200.0
1260	46.72	43	269.0
1261	46.72	21	119.0
1262	46.72	19	283.0
1263	46.72	17	222.0
1264	46.80	49	328.0
1265	46.80	19	179.0
1266	46.80	19	72.0
1267	46.80	13	118.0
1268	46.86	34	91.0
1269	46.86	22	115.0
1270	46.86	18	101.0
1271	46.86	13	201.0
1272	46.86	12	127.0
1273	46.90	30	209.0
1274	46.90	25	91.0
1275	46.90	24	221.0
1276	46.90	20	146.0
1277	46.95	43	133.0
1278	46.95	24	343.0
1279	46.95	17	429.0
1280	46.95	16	268.0
1281	47.06	52	145.0
1282	47.06	18	163.0
1283	47.06	18	205.0
1284	47.06	13	116.0
1285	47.12	80	155.0
1286	47.12	20	87.0
1287	47.15	76	210.0
1288	47.15	24	267.0
1289	47.20	44	218.0
1290	47.20	20	281.0
1291	47.20	19	282.0
1292	47.20	17	165.0
1293	47.25	47	118.0
1294	47.25	19	176.0
1295	47.25	19	416.0
1296	47.25	15	175.0
1297	47.34	43	401.0
1298	47.34	22	131.0
1299	47.34	21	268.0
1300	47.34	14	98.0
1301	47.37	100	355.0
1302	47.40	100	461.0
1303	47.60	100	269.0
